지점명,date,nickname,review_content,wait_time
강남점,2025년 7월 11일 금요일,소금소금빵156,사람 진짜 많고 하이볼이 짱맛 !!!!! 음식도 다 신기하고 맛있거 양많고 혜자예요 !!! 사람이 너무 많아서 그런지 맥주는 좀 덜시원했고 하이볼은 야관문 복분자 둘다 완전 존맛 !!!더보기,바로 입장
강남점,2025년 6월 28일 토요일,one02,약간의 웨이팅 후 들어왔어요 국물이랑 고기도 맛있고 다  친절하세요 육전이 너무 맛있어요ㅜㅜㅜ주점이라 초콤 시끄럽지만 내부 분위기 한식주점 그자체!!다음에 또오구싶어요더보기,30분 이내
강남점,2025년 7월 28일 월요일,이수연47,폭염에 도심 한복판에서 계곡 온 기붐 내며 닭전골 먹으니 좋아요~ 막걸리 먹기 딱입니다~~,바로 입장
강남점,2025년 7월 24일 목요일,쮸3545,닭고기 부드럽고 맛있어요. 국물은 라면 국물 맛이 나서 익숙한 맛이에요^^ 술안주로 적당한 양이고 양은 여자 두명에서 먹어도 약간 부족하네요ㅠㅠ 그리고 리뷰 이벤트 음식 받으려해도 결제 하고 리뷰 쓰고 나서야 가능합니다~^^더보기,바로 입장
강남점,2025년 7월 6일 일요일,마포 사과주스,강남역에 이런 좋은곳이 생긴줄 몰랐네요~~완전 계곡 느낌에 닭도 맛있고놀러온 느낌이어서 더 좋은 것 같아여~~~데이트 장소로 강추!!👍더보기,바로 입장
강남점,2025년 7월 13일 일요일,smi****,데이트하기 딱좋고 음식과 분위기가 좋은곳입니다!!!요리주점이라고만 생각했는데 음식이 맛있고 맛집 스멜이 납니닿ㅎㅎ 가격도 적당하고 즐겁게 먹고 가요!!다음에 또 방문할게요🙂더보기,바로 입장
강남점,2025년 7월 5일 토요일,마뇨옴,메뉴 구성이 너무 멋있고 맛있어보여서 방문했어요!!외국인 친구 있으면 데려오면 너무 좋을 것 같아요눈도 입도 즐겁게 즐기구 갑니다◜◡◝,바로 입장
강남점,2025년 7월 17일 목요일,doiww,"묵은지볶음밥이 짜지 않고 특별히 맛있구요,유린기는 일반적인 맛인데 비리지 않고 소스랑 적절히 잘 어우러서 맛있게 먹었습니다.닭 전골은 국물이 진하고 건강해지는 맛입니다~담엔 유린기 + 묵은지볶음밥 고정하고하나는 새로운 메뉴 도전해볼 것 같아요!더보기",바로 입장
강남점,2025년 7월 4일 금요일,맛집탐방가isfj,추천메뉴 : 세트메뉴 ! 특히 원조 닭전골금요일 웨이팅6:30에 도착해서 7시에 들어왔어요!!! 분위기도 좋고 음식도 맛있습니다 추천 ㅎㅎㅎ더보기,30분 이상
강남점,2025년 7월 17일 목요일,서울 한바퀴,다행히 운좋게 웨이팅 없이 들어갔어요분위기도 좋고 안주가 맛있어요하이볼도 특색있고 좋았어요,바로 입장
강남점,2025년 7월 25일 금요일,monlang,분위기 좋고 너무 맛있어요~~곱창전골 완전 술안주!!다들 친절하고 너무 좋아용,30분 이내
강남점,2025년 7월 4일 금요일,나랑맛집갈래,오늘은 매운맛으로 도전했어요더운날씨에 보양전골 에 시원한 소주 마시니 너무 좋아요,바로 입장
강남점,2025년 7월 29일 화요일,soo****,오리를 이 가격에 먹을 수 있네요 맛있고 컨셉 확실하고 전통주가 다양해서 좋아요!!,10분 이내 
강남점,2025년 7월 29일 화요일,shi****,"오리전병 먹고 싶었는데, 한정이라 그래서 걱정했거든요. 평일 저녁 7시 기준 주문 가능했어요! 예약 안하고 왔는데 6팀 대기 중이었습니당~기대했는데 비쥬얼부터 냄새 맛 완벽해요 넘 맛있었어요!!! 2인 세트메뉴 구성 좋습니당~더보기",30분 이내
강남점,2025년 6월 2일 월요일,sooha,"맛있고 좋은데, 술집인거 알지만 유독 성대싸움 심하게 해야하는 곳.. 여기만 다녀오면 하도 소리지르듯이 말해서 목이 아파요🥹소개팅으론 비추, 친구들이랑 술마시기 좋은 곳🍻안주 맛나고, 술 종류도 많아서 골라 먹기 좋아요~! 이전 방문때 그냥 삼계탕(?)도 먹었는데, 매콤한게 더 제 취향이었어요😎닭육전이던가 저건 약간 한방맛 나서 호불호 살짝 탈 수도 있을 거 같습니다.더보기",바로 입장
강남점,2025년 6월 25일 수요일,tjd****,친우들과 맛있는 요리 맛보러 방문하였습니다.직원분들도 친절하시고 매장도 분위기 너무 좋았습니다. 요리는 너무 맛잇었구요~ 특히 진흙오리전병 겉은 바삭 속은 촉촉 최고였습니다! 꼭 재방문하겠습니다~ ㅎㅎ더보기,바로 입장
강남점,2025년 5월 16일 금요일,jin****,"저번에 친구들하고 모임왔다가,👭👫👭순두부곱창전골이 너무 맛있어서🥘소중한 인연을 또 모시고 왔어요~🤴순두비찌개와 곱창의 만남이 최고 👍 💕정말 깍두기처럼 생긴 망고 🥭 아이스크림른 너무 맛있어서 에피타이저 같아요~❤️❤️❤️더보기",바로 입장
강남점,2025년 7월 29일 화요일,지ㄴI,진흙오리전병 보고 와서 대표 메뉴인 전골이 같이 세트인 게 있길래 시켜 먹었는데 정말 만족스럽습니다..디른 것보다 오리전병이 진짜 찐인 것 같아요 육즙도 장난 아니고 겉바속촉이 진짜 미칩니다 맛있어요 ㅎㅎㅎ덕분에 맛있게 먹고 갑니당 :>더보기,30분 이내
강남점,2025년 6월 27일 금요일,Yaya Pang,일 끝나고 친구랑 아무생각 없이 왓는데 역시 핫플이라 웨이팅 좀 있었지만 2-30분 이내 입장 했어요!분위기 좋고 음식 도 맛있어요 종종 놀러올거에요!더보기,30분 이내
강남점,2025년 7월 6일 일요일,고양아 야옹해봐,새롭고 신박한 메뉴가 있어서 찾아왔어요맛있습니다 강추!!또 올게요😁,바로 입장
강남점,2025년 7월 19일 토요일,응가룬,오미자담금주 하이볼 맛있어용닭육전은 한방맛이나고 달달하니 맛있어오!! 분위기도 즇아용~,1시간 이상
강남점,2025년 7월 14일 월요일,CarepeDiem,친구들이랑 오랜만에 모여서 왔는데 여기 안주 기깔납니다.인스타에서 오리진흙 뭐 그거 메뉴 보고온건데대박입니다 이거첨에 나올땐 띠용했는데 맛은 대박입니다더보기,바로 입장
강남점,2025년 7월 18일 금요일,thd****,메뉴가 신기한게 많아서 와봤어요웨이팅이 길어서 힘들었는데 다양하게 시켜서 먹고 가려고 합니당,2시간 이상
강남점,2025년 7월 11일 금요일,이예솔78,"요즘 날씨 너무 더운데 술은 먹고 싶고, 원기 회복도 하고싶어서 찾아왔어요. 음식도 정갈하고 쾌적해서 모임 오면 추천합니다!!",바로 입장
강남점,2025년 6월 7일 토요일,Bbanks,가성비 너무 좋고 여름에 몸보신 하기 딱 좋습니다!!! 닭가슴살도 샤브샤브 처럼 먹을 수 있어서 신기했어요!!! 강남에 이런곳이 있는거 처음 알았네요!!!,바로 입장
강남점,2025년 7월 16일 수요일,김민희455,생일파티로 왔는데 분위기도 너무 좋고 시원하고 맛도 있아요🥰💙 이런곳 너무 좋아하는데 가성비 짱👍🏼,바로 입장
강남점,2025년 7월 9일 수요일,Lounz,전에 닭전골 먹고 마싯어서 또 왔는데 육회도 너무 맛있어요...!!!!!노래도 좋고 인테리어도 조아요 자주 올게요🥹,바로 입장
강남점,2025년 4월 28일 월요일,여름엔맛집다니기,"신논현쪽에 일이있어서 갔다가 발견한 아리계곡!위치가 신논현,강남 중간이라서 살짝 애매하긴함.얼큰해장닭전골+흑임자오이무침 조합 미쳤어요. 국물도얼큰하고 소주가 술술들어가요. 최근에 먹은 전골중에 가장 맛있게먹었어요. 닭도 부드럽고 몸보신 하는 느낌이 나서 최고였음 👍더보기",바로 입장
강남점,2025년 6월 25일 수요일,heeesu,핫하다고 해서 몇주째 벼르다가 드디어 방문했습니다!! 술도 다양하고 컨셉도 좋고 메뉴가 특별해서 좋아용! 맛있습니다. 평일에도 사람 많은 핫플이니 꼭 가보시길 ㅎㅎ더보기,10분 이내 
강남점,2025년 7월 14일 월요일,찰리1610,"세트로 할인 된 가격에 먹었어요! 몸보신 여름에 아리계곡에서 하면 되는 부분 ~.~ 술도 오미자, 복분자 하이볼도 있고 최고네요!!!",바로 입장
강남점,2025년 7월 5일 토요일,뉴니이,분위기가 너무 좋아요 오픈 시간 지나니까 웨이팅 생기는거보니 핫플이 맞았고요! 주문한 안주도 너무 맛있어용🧡🧡🧡🧡,바로 입장
강남점,2025년 6월 10일 화요일,li****,분위기 진짜 장난아니였던 곳!! 인테리어도 한국적이면서도 힙하고 음식들도 다 아리계곡에서만 볼 수 있는 메뉴들이라 특색 넘쳤어요! 아주 만족스러운 저녁 보내고 왔습니다.더보기,바로 입장
강남점,2025년 7월 28일 월요일,슈쨩의 데일리 슈토리,분위기 무슨일~~ 술 종류도 많아서 즐겁게 즐길수 있었습니다,바로 입장
강남점,2025년 7월 4일 금요일,희쟈잉,술집인데 음식이 너무맛있구 정말 원기회복 되는것같네요!!! 웨이팅은 많은데 이해가 돼요! 다들 친절하시고 강남 핫플 입니다 ㅎㅎ,30분 이내
강남점,2025년 4월 24일 목요일,만듀39,MZ 핫플이라고 해서 회사 동료분들과 방문했는데 너무 힙하고 분위기 좋네요 !! 회식으로도 적격이에요 ~  오미자 하이볼 인삼담금주에 나오는것도 너무 센스있네요👍 음식 퀄도 기대안했는데 아귀간육회랑 흑임바 오이무침 꼭 드셔보세용!! 청모로 재방문 예정입니다!더보기,바로 입장
강남점,2025년 6월 29일 일요일,타이머31,"메뉴들이 신박해서 방문했는데 분위기도 좋고 안주들도 다 맛있어요~~ 안주부터 후식까지, 그리고 술 종류도 다양해서 남녀노소 모두다 좋아할 술집인듯! 맛있는 안주 먹고 싶었는데 성공임~~더보기",바로 입장
강남점,2025년 7월 14일 월요일,레이77777,원조닭전골 3인세트로 먹었습니다 통돼지후라이드 닭고기육전 흑임자오이무침 떡추가해서 먹었는데 성이남자둘이 먹기에 힘들었습니다 다양하게먹고싶어서 3인시켰는데 욕심안부리고 2인세트가 나아요 닭전골국물우 맑은 닭육수에 감자국물맛이 많이나는 구수한 국물이예요 비오는날 뜨끈해서 좋았습니다 전체적으로 다 맛있었는데 닭고기육전우 식으니까 좀 느끼했어요 술집이라 엄청시끄러우니까 식사하실분은 일찍가서 식사 빨리하고 옮기는게 나을듯합니다 재방문의사 있어요👍더보기,바로 입장
강남점,2025년 7월 12일 토요일,버섯5440,음식이 다양하고 맛있어요!!ㅎㅎ강남에서 모임하기 좋아요~~!,바로 입장
강남점,2025년 7월 27일 일요일,ahnii,단체로 모이기 좋아요! 술 종류도 많아 골라마시는 재미가 있어요👍🏻,바로 입장
강남점,2025년 6월 30일 월요일,jhj****,백숙 너무 맛있어요 ㅜㅜ안주도 다 맛있고.. 분위기도 좋아요여름에 오기 좋은거같아요!!☀️☀️☀️,바로 입장
강남점,2025년 7월 23일 수요일,여여연,저번에 다른 지점 방문해보고  강남도 와봤는데 !! 역시 너무 맛있네요 ㅠㅠ🩵🩵국물도 맑고 술안주로 너무 좋은 모임장소인거같아용☺️더보기,바로 입장
강남점,2025년 6월 21일 토요일,포요누나85,"삼계탕 술집이라니,,컨샙 좋고 인테리어 좋고.직원들 친절하시고다만 대기할정도 항상 만석이라 좀 시끄러운게 흠그만큼 인기 많다는거니까분위기만큼은 짜세!더보기",10분 이내 
강남점,2025년 7월 20일 일요일,어른핑,닭전골 처음 먹어봤는데 너무 맛있어용!! 오이무침도 맛있어요🥹🥹,바로 입장
강남점,2025년 7월 18일 금요일,쓸220,음식퀄리티 너무 좋아요 ㅠㅠ맛있고 직원분들 친절하세요❤️,10분 이내 
강남점,2025년 7월 18일 금요일,jj1997,분위기도 좋고 음식도 맛있어요 전골류가 짱입니다 깍두기 빙수도 너무 귀여워요,바로 입장
강남점,2025년 7월 18일 금요일,포스50,"저희는 2인 세트를 주문해서 먹었어요. 날씨가 더운데도 보양식으로 아주 든든하고 좋았습니다. 오미자하이볼이랑 복분자하이볼도 함께 마셨는데, 상큼하고 음식과 잘 어울렸어요! 직원분들도 친절하시고, 매장도 깔끔해서 편안하게 식사할 수 있었습니다.더보기",바로 입장
강남점,2025년 5월 23일 금요일,쁘리다,비주얼이 너무 조아요~~~~ 오미자담금주랑 전골 같이 먹으니까 으른된 기분~~~ 분위기도 짱 조아요 모임 장소 앞으로 여기로 해야디🥵🥵,10분 이내 
강남점,2025년 7월 14일 월요일,wjs****,안주도 너무 싸고 너무 맛있어요 직원분들도 너무 친절하고 좋습니다,바로 입장
강남점,2025년 6월 20일 금요일,slr****,너무맛있어요! 특히 육전이 진짜 너무너무 맛있습니다 ㅎㅎ 오이무침도 맛이꼬 비오는날 건강챙기고가요~~,바로 입장
강남점,2025년 7월 20일 일요일,han****,분위기도 좋고ㅠ너무너무 맛있어용……. 또 올 듯!!!!!!,바로 입장
강남점,2025년 7월 19일 토요일,김아름815,술도 음식도 맛있어요! 추천,1시간 이상
강남점,2025년 5월 8일 목요일,Qwertkey,"진짜 기대 안 하고 후다닥 매장 넓고 대화하기 좋은 곳 찾아보고 간 건데, 맛도 너무 좋고 진짜... 와... 오이도 맛있고, 맛없는 게 없더라고요. 직원분들도 너무 친절했고 즐거운 술자리 가졌습니다:) 3인 세트 먹었어요!더보기",바로 입장
강남점,2025년 5월 21일 수요일,나랑맛집갈래,진흙오리전병 엄청 멋져요가격 분위기 맛 압도합니다계곡 놀러온 느낌 낭낭해요 ㅎㅎ,바로 입장
강남점,2025년 7월 20일 일요일,MOOD80,비쥬얼도 미쳤고 맛도 너무 좋고 분위기도 너무 좋아요!!,바로 입장
강남점,2025년 7월 24일 목요일,lacm216,음식이 맛잇고 가게가 깔끔해서 또 오고 싶어요!,바로 입장
강남점,2025년 7월 7일 월요일,영이015,닭전골 먹고 싶어서 왔는데 메뉴도 생각보다 다양하고 매장 분위기도 좋네여 많이 시끄럽지 않아서 편하게 먹고 갈 수 있어서 좋아용👍🏻,바로 입장
강남점,2025년 7월 22일 화요일,eor****,거의 뭐 협곡에서 온 아리도 잠깐 들러서 술먹고 갈정도로 겁나 맛있습니다 이거 완전히 맛집이네 맨날오고싶어요 아리계곡 흥해라!!!,바로 입장
강남점,2025년 6월 3일 화요일,맛있다귤,강남에 너무 분위기와 가성비있는 식당 많이 없는데 여기 너무 좋아요! 장소도 넓어서 모임에도 좋을 것 같아요! 닭 전골도 깔끔하고 맛있습니당,바로 입장
강남점,2025년 6월 13일 금요일,MJ2115,술집와서 말 한마디도 없이 먹을정도로 안주가 미쳤어요. 오미자 담금주랑 얼큰해장닭전골+묵은지볶음밥 조합 강추합니다 ...,30분 이상
강남점,2025년 6월 21일 토요일,tnwlchlrh12,2차로 오기에 딱이에요조금 시끄럽지만 그래도 너무 술먹기 분위기가 좋습니다,10분 이내 
강남점,2025년 5월 27일 화요일,you****,"매장이 충결하고 좋아요 !!!닭 샤브샤브 기호에 맞게 천천히 먹을 수 있어서 좋아요 !!단체 회식도 많은데, 친구등끼리 모임 하기 좋은것 같아요 !!!방문 추천 ~~!!!더보기",바로 입장
강남점,2025년 6월 23일 월요일,헤헤헤헤헷,회사 동료 분들이랑 퇴근 후에 먹었는데고물가 시대에 가격도 저렴하고 되게 분위기도 있어 만족했어요2번째 방문인데 너무 기억이 남아 또 방문했어요너무 부담없이 즐기기 좋은곳 같아요더보기,바로 입장
강남점,2025년 7월 12일 토요일,희도524,대학원 사람들이랑 재밌게 잘먹구 가요~ 알바분들이 친절해서 너무 좋아요. 깍두기빙수 (망고) 메뉴도 센스있고 재밌어요 ㅎㅎ,10분 이내 
강남점,2025년 4월 25일 금요일,수주7830,전부터 저장해뒀던 아리계곡을 강남 갈 일이 생겨 다녀왔어요!소곱창순두부전골은 기본으로 쫄면 사리도 들어있어서 꽤 배부르고주류는 전통주 증류주 막걸리 등 다양한 카테고리의 술이 가격대별로 정리되어 있어서그날의 무드에 맞게 고르기가 좋네요인테리어도 독특하니 예쁘고 강남에서 약속이 있으면 또 올 것 같아요☺️더보기,바로 입장
강남점,2025년 7월 10일 목요일,진수현254,회사 마치고 왔는데 안기다리고 들어가서 좋았어요!! 오이도 맛있고 통돼지후라이드도 맛있어요!!,바로 입장
강남점,2025년 7월 5일 토요일,min****,오 진짜 맛있어요...! 웨이팅 해서 들어갈 만큼 강남에서 제일 맛도리집.. 대박쓴... 한 입 먹고 감탄했습니다.. 진짜 꼭 와야돼여 ❤️,10분 이내 
강남점,2025년 7월 19일 토요일,DadaS2,음식도 진짜 맛있고 처음 와봤는데 또 오고싶어요!!,바로 입장
강남점,2025년 7월 22일 화요일,jjjoyoun25,음식이 맛있고 다양해서 좋았어요 예약하고 가서 기다림없이 먹고나왔어요,바로 입장
강남점,2025년 7월 12일 토요일,dpf****,안주들이 다 너무 맛있어요!! 자리도 많고 좋아요ㅎㅎ,바로 입장
강남점,2025년 7월 3일 목요일,비비와아이둘,메뉴만 보고 왔어요! 메뉴나오는 시간도 빠르고 맛도 좋아요! 건강한 스타일의 음식들이라 시킬 때도 부담없고 맛도 강하지 않아 너무 좋아요!,바로 입장
강남점,2025년 6월 19일 목요일,지 먕,얼큰한게 먹고싶어서 검색해서 방문했어요!인테리어도 너무 예쁘고 다들 너무 친절하세요🥹얼큰하니 맛있습니다!!!!,바로 입장
강남점,2025년 7월 4일 금요일,SAINT22,닭전골 맛있다고 얘기들어서 왔는데 너무 맛있게 잘먹고 가요!! 담에 또 올라고요😀,바로 입장
강남점,2025년 7월 16일 수요일,아리랑12,강남에서 찾아보기힘든 가성비 술집인것같아요조금 시끄러워서 조용한 분위기 찾는 분들은 비추하고시끌시끌하게 술마실분들은 좋은것같아요퇴근시기엔 웨이팅 있을수있으니 2차로 오시는거 추천합니다!더보기,1시간 이상
강남점,2025년 7월 9일 수요일,토톨호,인테리어가 멋져요!음식도 특색있고 맛있어요 :-)병풍같은 메뉴판도 인상적이었어요~,바로 입장
강남점,2025년 4월 18일 금요일,지라프,"날이 추워서 국물이 땡기던 차에 신논현에 어슬렁 걷다가 발견한 술집! 닭전골이 추천메뉴길래 들어가보기로 마음먹음. 겉간판과 내부 인테리어 진짜진짜 독특함! 닭전골매콤은 닭계장같지만 더 몸보신하는 맛에 가까웠음. 맛있어서 추천메뉴 하나더 도전해보기로 함. 흑임자오이무침....순삭이였음... 술메뉴도 엄청많고 1차, 2차 상관없이 방문해도 좋을 거 같음.더보기",바로 입장
강남점,2025년 5월 24일 토요일,째째쫘,오 맛잇어요국물도 맛있고 흑임자오이도 맛잇어용 간 기가막히게 하시는듯//진흙먹고싶어서 왓는데 넘 늦게 오면 품절이네여ㅠㅠㅠㅠㅠ이런 ㅠㅞ더보기,바로 입장
강남점,2025년 7월 29일 화요일,mr_****,중복 전날 회사 지인들 모임으로 선택했는데 분위기도 좋고 메뉴가 많아서 좋은 것 같습니다 .모임 장소로 추천 드립니다~~~!,바로 입장
강남점,2025년 5월 31일 토요일,soj****,남자친구와 데이트 왔어요 ㅎㅎ국물도 진하고 맛있네요먹다가 추가로 더 시켜버럈습니다...😚인테리어도 이쁘니 방문해보세용👍더보기,10분 이내 
강남점,2025년 7월 4일 금요일,티데,분위기 진짜 좋고 음식 너무 맛있어요 돼지 후라이즈 무조건 드세요,30분 이내
강남점,2025년 5월 18일 일요일,일공이02,생긴지 별로 안된 곳 같은데 분위기가 너무 좋아보여서 왔어요! 오픈 시간 비슷하게 와서 웨이팅 없이 들어왔구요 안주들도 다 너무 맛있어보입니다😚💕,바로 입장
강남점,2025년 7월 5일 토요일,gus****,비린내도안나고 촉촉하고 맛있습니다ㅠㅠ다만 매장에 모기가 너무 많고 바닥 곳곳에 쓰레기들이 좀 많아용..,30분 이내
강남점,2025년 7월 29일 화요일,woo****,사장님이 너무 친절하시고 음식도 너무 맛있고 인테리어도 너무 예뻐서 연인이랑 오기에 너무 좋아요!!,바로 입장
강남점,2025년 5월 22일 목요일,채니s,가게 넓어서 단체모임하기에도 좋고 안주가 특히 저렴한데 푸짐하고 맛있어요 닭한마리 느낌도 나고 보양 동시에 해장까지!!담엔 다른메뉴 먹으러 또 방문하고 싶어요~~,바로 입장
강남점,2025년 7월 8일 화요일,kel****,음식이 너무 맛있고 다른 가게랑 다르게 독특해요메뉴도 마음에들고 가격대도 좋아요친구들과 맛있는음식과 잘 대화하다 갑니다!,바로 입장
강남점,2025년 7월 20일 일요일,스키아1003,복날이라 찾아왔는데 탁월한 선택이었습니다!얼큰으로 먹으니 칼칼하고 좋아요!,바로 입장
강남점,2025년 5월 15일 목요일,뮴냠,매장이 넓은데도 사람이 꽉 차는 맛집이에요!안주 너무 맛있고 누룽지 육회는 뿌셔 먹는 재미가 있어서 좋아요~닭전골도 얼큰하고 술 마시면서 해장 바로 되는 느낌!!더보기,바로 입장
