,0
144,"'비빔냉면'은 배우 겸 가수 박광현이었다.13일 방송된 MBC '복면가왕'에서는 '음악다방 DJ'와 대결을 펼친 '비빔냉면'의 정체가 공개됐다.이날 '음악다방 DJ'는 '꿈에'를 선곡해 매력적인 목소리로 감성을 자극했다. 이에 '비빔냉면'은 '나만의 슬픔'을 선곡해 애절한 목소리와 깊은 감정 표현이 돋보이는 무대를 선사했다.대결의 승자는 '음악다방 DJ'였다. 이에 '비빔냉면'은 가면을 벗고 정체를 공개했는데 그는 배우 겸 가수 박광현이었다.박광현은 ""제가 '복면가왕' 1회 출연자다. 10년 만에 너무 즐거운 경험을 했다""고 소감을 전했다.'별이 빛나는 밤에' DJ부터 '음악캠프' MC, '학교3' 출연 등 하이틴 스타 필수 코스를 섭렵했던 박광현은 ""20대 때 차를 15대 바꿨다""는 말에 대해 ""제가 차를 굉장히 좋아했는데 20대 때 차를 굉장히 쉽게 팔았던 기억이 있다. 라디오 생방 중 쉬는 시간에 화장실에 갔는데 홍경민 씨가 있었다. 두 달 정도 된 차가 있는데 사겠냐고 물었더니 사겠다더라. 그 짧은 시간에 차를 팔았다""고 했다.이에 판정단으로 출연한 홍경민은 ""제 개인 소유로 산 첫 번째 차가 박광현 씨가 타던 차""라고 해 놀라움을 안겼다.한편 MBC '복면가왕'은 매주 일요일 오후 6시 5분 방송된다."
145,"배우 오나라가 25년째 연애 중인 남자친구 김도훈에 대해 언급했다.13일 방송된 SBS '미운 우리 새끼'(이하 '미우새')에서는 오나라, 서장훈, 신동엽이 등장했다.이날 오나라는 서장훈을 보고 반가워하며 ""잘 있었냐. 나 좀 보고 얘기해""라고 말을 건넸다. 신동엽은 ""서장훈과 동갑내기인데 친구처럼 편하게 말을 놓고 싶은데 못 놓아서 한이 맺혔다고 한다""라고 말해주었고, 오나라는 ""장훈 씨가 저랑만 있으면 기가 빨려 하는 느낌이 든다. 전에 나한테 '그렇게까지 해야 하냐'고 했잖아""라고 말했다.이어 오나라는 ""평소 팬이고, 너무 좋아하는데, 저한테 거리를 두는 느낌이다. 다가가도 괜찮을까요""라고 서장훈의 옆으로 갔고, ""말 놓자""라고 제안했다. 서장훈은 ""그래라""라고 포기했고, 오나라는 ""친하게 지내자""라고 해맑게 말했다. 그러나 서장훈은 ""예""라고 힘없이 대답해 웃음을 안겼다.서장훈은 오나라의 동안 외모에 대해 ""저랑 동갑인데 동안이다. 해외에서도 화제가 됐다고 한다""라며 20년 전 사진과 현재 사진을 비교했다. 서장훈이 ""동안 유지 비결이 수건 한 장이라던데""라고 물었고, 오나라는 ""사실 비법은 피부과 열심히 다니는 거다. 평소 습관은 클렌징할 때 계면활성제를 안 쓴다. 순한 로션으로만 클렌징하고, 따뜻한 물로 수건을 적셔서 닦아낸다. 2년째 하고 있는데, 피부가 당기지 않고 좋더라""라고 밝혔다.25년째 연애 중인 오나라는 ""남자친구가 엄마랑 더 친하다던데""란 질문에 ""저희 엄마랑 궁합이 잘 맞는 것 같다. 엄마랑 대화를 잘하고, 부모님 집에 혼자 가서 놀다 오고. 챙겨줘서 너무 고맙다""라고 밝혔다.허경환 엄마가 ""결혼식을 하지""라고 하자 오나라는 ""그런 얘기를 너무 많이 듣는데, 서장훈 씨에게 물어보고 싶은 게 있다""라며 ""이런 질문을 많이 들어서 고민인데 어떻게 해야 하냐""라고 도움을 청했다. 오나라는 ""(결혼하든 안 하든) 너무 잘 만나고 행복하니까 굳이 할 필요성을 못 느끼는 것 같다. 언젠가는 하겠죠?""라고 전했다.그런 가운데 너저분한 이상민의 집이 등장했다. 이상민은 ""이사를 하는구나. 7번째 이사구나""라며 집을 바라보았다. 이에 신동엽은 ""'미우새'에서 이상민 이사 가는 것만 몇 번 본다. 이번엔 신혼집이라 느낌이 다르다""라고 했다.한편 오나라는 뮤지컬 배우 출신 겸 김도훈과 25년째 장기 연애 중이다.남금주 기자   / 사진=SBS '미운 우리 새끼'"
146,"[OSEN=박근희 기자] '냉장고를 부탁해’ 소문난 '낚시광' 배우 박병은이 그룹 엑소(EXO) 멤버 겸 배우 도경수(디오)를 향해 ""낚시계가 탐낼 인재""라며 극찬을 했다.13일 전파를 탄 JTBC '냉장고를 부탁해'에서는 건강, 낚시, 음주에 진심인 박병은의 냉장고 속 재료를 두고 셰프 4인의 불꽃 튀는 대결이 펼쳐졌다.SNS에 본인 사진보다 생선 사진이 많다는 박병은은 “워낙 낚시를 좋아하다보니까 제주도에서 선장님들이 전화가 온다”라며 제철 생선이 나올때마다 연락이 온다고 밝혔다.박병은은 도경수를 두고 낚시계가 탐나는 인재라고 언급하며 “경수는 차분한 성격에 불평불만이 없다. 가장 입문하기 힘든 사람이 불평불만이 많은 사람이다. 가장 스트레스가 ‘고기 왜 안 잡혀’(라고 말하는 사람)”라고 말해 웃음을 자아냈다.공유, 박희순과 낚시를 했다는 박병은은 박희순은 낚시대를 넣자마자 참돔을 낚았다고 전했다. 공유는 한 마리만 잡았지만 이후에 완전한 낚시광이 됐다고.이를 들은 김성주는 “불평불만이 많은 사람이 박희순 씨로 확인된다”라고 말해 좌중을 폭소케 했고, 박병은은 “의젓하지 못했다. 본능이에요. 이게”라며 김성주의 말에 동의해 웃음을 안겼다./ skywould514@osen.co.kr[사진] ‘냉장고를 부탁해' 방송화면 캡쳐"
147,"1박제주에서 1박2일 멤버들이 색다른 미션에 나섰다.13일 방송된 KBS 2TV 예능 ‘1박2일’이 시즌 4로 새로운 재미를 선사했다. 새 출연진과 제작진이 가세한 ‘1박 2일’은 우리가 알던 익숙한 재미는 물론 톡톡 튀는 신선함까지 담아내며 안방극장을 웃음바다에 빠뜨리고 있다.가장 눈에 띄는 건 출연진. 김종민을 제외하면 ‘1박2일’의 뉴페이스다. 연정훈, 나인우, 유선호 등이 합류하며 새로운 합을 만들어갔다. 특히 2002년생 21살인 유선호는 드라마 <슈룹>의 계성대군 역으로 라이징스타로 자리매김했다. 이후 연정훈과 나인우가 하차하고 새로운 멤버 조세호와 이준이 합류했다.김종민은 새로운 멤버들이 들어옴과 동시에 맏형으로 등극했다. 출연진에 이어 제작진에도 새로운 변화가 생겼다. 이전 방송까지 세컨드 프로듀서였던 주종현 PD가 메인 프로듀서로 내부 승진, 향후 '1박 2일'을 이끌어가게 된 것. 주종현 PD는 지난 2016년 '1박2일 시즌3' 막내 PD로 첫 등장했다가 8년 만에 메인 PD로 다시 나타났다.‘1박 2일’ 팀은 그동안 보지 못했던 제주의 숨은 보물을 찾아다니는 어드벤처 여행을 펼쳤다. 마치 ‘인디아나 존스’ 시리즈를 연상시키는 탐험가 착장을 한 여섯 멤버는 두 팀으로 나뉘어 미공개 동굴 탐험에 나섰다.이날은 제주도에서 펼쳐지는 ‘탐라는 보물섬 : 어드벤처 여행 특집’ 두 번째 이야기가 공개됐다. ‘1박 2일’ 팀은 세계 최대의 용암 동굴 벵뒤굴, 김녕굴 탐험을 하며 보물찾기에 나섰다. 하지만 너무나 좁은 동굴 때문에 멤버들은 기어다녀야만 했다.특히 문세윤은 팔힘만으로 좁은 동굴을 기어다녔다. 우여곡절 끝에 좁은 동굴 틈에서 보물을 찾은 멤버들은 바로 보물을 열려 했다. 이때 제작진이 “보물을 만지지 말라. 미션을 알려주겠다”고 하자 멤버들은 “동굴을 기어다니는 게 미션이지. 이게 미션이지”라면서 화를 내 웃음을 자아냈다.한편 1박2일 시즌4는 ‘국민 예능’이란 수식어를 입증할 대한민국 대표 리얼 야생 로드 버라이어티다. 김종민-문세윤-딘딘-유선호-이준-조세호가 호흡을 맞춘다.매주 일요일 오후 6시 30분 KBS 2TV를 통해 방송된다."
148,"김준호 김지민 결혼식 사진. SNS.개그맨 김준호-김지민의 결혼식 현장이 공개됐다.13일 오후 김준호-김지민의 결혼식이 서울 강남구 삼성동 그랜드 인터컨티넨탈 파르나스 호텔에서 진행됐다.이날 특히 눈길을 끈건, 신부 입장에서 개그맨 선배 김대희가 김지민의 손을 잡아준 것.앞서 김대희는 한 방송에서 김대희는 “(김)지민이 아버님이 2017년에 돌아가셨는데 결혼하게 되면 아버지 대신 내 손을 잡고 신부 입장을 해주면 좋을 것 같다고 하더라”라고 말한 바있다.김대희는 결혼식 당일 김지민과 함께 버진로드를 밝으며, 해당 약속을 지켰다.김준호-김지민 결혼식의 사회는 방송인 이상민이, 축가는 가수 거미와 변진섭이 축가를 맡았다. 이밖에도 수많은 연예계 지인들이 하객으로 참석, 결혼식 총 하객은 1200명 가량 된다고 알려졌다.김준호와 김지민은 결혼식 직후에도 각자 활동을 이어가며 신혼여행은 잠시 미룰 예정이다.장정윤 기자 yunsuit@kyunghyang.com"
149,"[스타뉴스 | 한해선 기자]/사진=신지 SNS가수 코요태 신지가 가수 문원과의 결혼을 앞두고 코미디언 김준호와 김지민의 결혼식을 축하했다.신지는 13일 자신의 SNS에 ""준호 오빠♥ 결혼 진심으로 축하해""라며 사진을 올렸다.사진에는 신지가 코요태 멤버 김종민, 빽가와 함께 김준호, 김지민의 결혼식에 하객으로 참석한 모습이 담겨 있었다.세 사람은 나란히 테이블에 앉아 김준호, 김지민의 결혼식을 축하하며 밝은 미소를 보였다. 특히 지난 4월 비연예인과 결혼한 김종민, 내년 가수 문원과 결혼을 앞두고 웨딩화보를 촬영한 신지가 이날 결혼식에 호기심 가득한 눈빛을 보였다./사진=신지 SNS/사진=김승혜 SNS김준호와 김지민은 이날 서울 강남구 삼성동 그랜드 인터컨티넨탈 파르나스 호텔에서 결혼식을 올렸다. 이날 두 사람의 결혼식 사회는 이상민이 맡았으며 축가는 가수 거미, 변진섭이 불렀다. 이날 결혼식에는 선후배, 동료 코미디언과 방송인들이 총출동, 하객만 약 1200명 이상으로 알려졌다.신지는 최근 가수 문원과의 결혼 소식을 전했다. 이런 가운데 최근 문원이 딸을 둔 돌싱인 사실이 알려졌다. 여기에 문원의 양다리 의혹, 군 복무 중 후임 괴롭힘 의혹, 사기 부동산 의혹 등이 제기되며 논란이 일었다.하지만 신지의 소속사는 또한 문원이 전 아내와 협의 이혼했고, 직무 교육을 이수한 뒤 부동산 보조중개원으로 근무했다고 해명했다. 그 외 의혹들에 대해서는 부인했다. 신지 역시 ""예비 신랑과 관련한 의혹은 모두 사실이 아니""라고 밝혔다."
150,"ENA ‘내 아이의 사생활’ 캡처[뉴스엔 장예솔 기자] 방송인 도경완 모친이 아들의 프리랜서 선언에 속상함을 토로했다.7월 13일 방송된 ENA '내 아이의 사생활'에서는 도도남매(연우, 하영)가 결혼 50주년을 맞은 조부모님과 함께 경주를 찾았다.이날 할머니는 ""아빠 낳고 언제 제일 뿌듯했냐""는 연우의 물음에 ""KBS 아나운서 합격했을 때""라고 밝혔다.ENA ‘내 아이의 사생활’ 캡처가장 속상했던 순간 역시 도경완이 지난 2021년 안정적인 아나운서 자리를 박차고 프리랜서를 선언했을 때였다.장윤정은 ""마음에 안 들어 하셨다. 저보고 좀 말려보라고 계속 그러셨다""고 당시를 회상했다.할머니는 마음을 돌린 이유를 묻자 ""좀 속상했는데 아빠가 선택한 거니까 믿고 존중하기로 했다. 잠깐 그랬지 괜찮았다""며 도경완을 향한 애틋함을 드러냈다."
151,"[스포츠조선닷컴 이게은기자] 그룹 쥬얼리 출신 이지현이 살림의 여왕 면모를 뽐냈다.13일 이지현은 ""제가 오늘 아침에 분명 쉬어야 한다고... 오늘은 쉴 거라고 해놓고 수육 1kg을 만들어 소분했네요. 요즘 많이 피곤한지 피부도 뒤집어져서 약도 달이고요. 결국 집안 대청소에 이불 빨래까지. 막내 몰리 미용까지. 어제 임플란트 수술한 여자 맞냐고요 #엄마는 강하다""라며 근황을 전했다.함께 공개된 사진에는 이지현이 정성껏 소분해놓은 수육 등이 담겨 눈길을 끌었다. 임플란트 수술 다음 날임에도 불구하고 부지런히 집안일을 해낸 모습이 인상적이다.한편 이지현은 1998년 다국적 아이돌 그룹 써클로 데뷔했으며 2001년 그룹 쥬얼리 멤버로 재데뷔했다. '니가 참 좋아' '슈퍼스타' 등 히트곡으로 사랑받았으며 SBS '일요일이 좋다 X맨을 찾아라' 등 예능에서 활약하기도 했다. 2006년 쥬얼리를 탈퇴했고 이후 두 차례 이혼하는 아픔을 겪었다. 홀로 1남 1녀를 양육 중이며, 최근 미용사로 새출발을 한다고 알려 화제를 모았다."
152,"[스포츠조선닷컴 이우주 기자] '미우새' 오나라가 결혼식을 올리지 않은 이유를 밝혔다.13일 방송된 SBS 예능프로그램 '미운 우리 새끼'에서는 배우 오나라가 스페셜MC로 출연했다.오나라는 외국에서도 소개될 만큼 동안인 미모를 자랑한다. 오나라는 동안 비법에 대해 ""비법은 사실 피부과 열심히 다니는 거고 유지하려면 평소 습관이 중요하다. 클렌징할 때 계면활성제를 안 쓴다. 클렌저를 쓰지 않고 순한 로션으로 클렌징을 한다. 수건에 따뜻한 물을 적셔서 닦아내기만 한다. 그걸 2년째 하고 있는데 피부가 당기지 않고 너무 좋더라 손이 많이 가긴 한다. 공을 들여야 한다""고 밝혔다.오나라는 남자친구 김도훈과 무려 25년째 열애 중이다. 오나라의 남자친구는 오나라의 엄마와 더 친하다며 ""저희 엄마랑 잘 맞는 거 같다. 엄마랑 더 대화를 잘하고 저 없이 혼자 부모님 집에 가서 놀고 온다. 저는 챙겨 주니까 고맙다""고 밝혔다.이에 모벤저스는 ""결혼식을 올리지 그러냐""고 물었고 오나라는 ""결혼식하라는 말을 너무 많이 듣는데 장훈 씨한테 물어보고 싶은 게 있다. 이런 얘기를 너무 많이 들어서 고민인데 물어보고 싶다. 통쾌하게 얘기해달라""고 조언을 구했다. 그러면서 오나라는 결혼식을 하지 않은 이유에 대해 ""하든 안 하든 너무 잘 만나고 행복하니까 필요성을 못 느끼는 거 같다. 언젠가는 하겠죠?""라고 답했다."
153,"[OSEN=장우영 기자] 그룹 젝스키스 리더 은지원이 13년 만의 재혼 소식을 조심스럽게 알린 뒤 이제는 한결 적극적이고 유쾌한 모습으로 달라진 일상을 공유하고 있다. 특히 외모 변화까지 감행하며 '새신랑'의 설렘을 감추지 못하는 모습에서는 세월을 넘어선 깊은 성숙함이 묻어난다.은지원은 최근 9살 연하의 스타일리스트와 결혼을 약속하며 13년 만의 재혼 소식을 전했다. 이혼 후 오랜 시간 홀로 지내왔으며 사생활이 많이 알려지지 않은 터라 재혼 소식은 큰 화제를 모았다. 소속사 YG엔터테인먼트 측은 ""가까운 친지분들과 조용히 식을 올릴 예정""이라며 은지원의 뜻에 따라 조심스러운 분위기 속에서 결혼을 준비해왔음을 알렸다.재혼 소식이 알려지자 은지원은 더 이상 자신의 행복을 숨기지 않았다. 그는 자신이 진행하는 KBS2 '살림남2'를 통해 자신의 달라진 모습을 어필하며 시청자들에게 설렘을 전했다. 특히 다복한 가정을 이룬 박서진의 부친을 보며 ""저렇게 아들, 딸이 있으니까""라며 자녀에 대한 은근한 부러움을 드러내기도 했다.외모에서도 변화의 기류가 감지됐다. 최근 방송에서는 은지원이 재혼을 앞두고 '아내 될 사람'이 원하는 헤어스타일로 변신한 것이 아니냐는 추측이 제기됐다. 그러나 은지원은 이에 대해 ""엄마가 자르라고 해서 자른 거다""라며 특유의 너스레로 웃음을 자아냈다. ""아무래도 연애를 하면 겉모습에 신경을 쓰니까 그런 것 같다""는 발언은 결혼을 앞두고 외모 관리에도 신경 쓰는 '새신랑'의 설렘과 아내의 영향을 은연중에 드러내는 지점이었다.은지원의 이러한 변화는 단순한 신혼의 모습이 아닌, 13년이라는 시간과 경험이 만들어낸 깊은 성숙을 보여준다. '은초딩'으로 대표되던 기존 이미지를 넘어 이제는 인생의 중대사를 진솔하게 받아들이는 어른의 모습이 인상적이다.은지원은 이처럼 새로운 가정을 꾸리고 2세 계획까지 은연 중에 내비치는 등 '인생 2막'을 향한 진솔한 발걸음을 내딛고 있다. 조심스러운 준비 끝에 행복을 적극적으로 나누는 은지원의 모습에서 그가 얼마나 행복을 느끼고 있고, 안정감을 찾았는지를 느낄 수 있다. /elnino8919@osen.co.kr"
154,"(엑스포츠뉴스 이예진 기자) 배우 김혜자가 한지민을 향한 따뜻한 응원을 전해 눈길을 끌었다.13일 한지민은 자신의 개인 계정을 통해 커피차 선물 인증샷을 게재했다. 현수막에는 ""지민이 화이팅♥ 늘 감사해 배우 및 스탭분들 모두 건강하세요 화이팅~ -김혜자 드람-""이라고 적혀있다. 한지민은 ""김혜자 드림"" 문구를 클로즈업하며 애정을 표했다.또 ""김혜자 선생님! 시원하게 잘 마실게요! 고맙습니다♥""라는 문구를 전하며 인증샷을 올렸다.이어 ""맛있게 잘 먹었습니다""라며 팥빙수 간식과 커피 사진을 올리며 김혜자에게 감사한 마음을 전했다.두 사람은 JTBC '눈이 부시게', '천국보다 아름다운'에서 함께 호흡한 바 있다.사진=한지민 계정"
155,"“아버지 이어 오빠에게”… 이수근 아내 박지연, 두 번째 신장이식 앞두고 전한 감사와 다짐[OSEN=김수형 기자] 개그맨 이수근의 아내이자 스타일리스트 출신 인플루언서 박지연이 두 번째 신장이식 수술을 앞두고 감사 인사와 함께 조심스러운 각오를 전했다.박지연은 13일 자신의 SNS를 통해 “기사를 보고 정말 많은 분들이 따뜻한 응원과 기도를 보내주셔서 감사하다”며 “최종 검사에서 이상이 없으면 다음 달 중순쯤 두 번째 신장이식을 받게 될 것 같다”고 밝혔다.그는 “아직도 마음이 복잡하고 조심스럽지만 잘 준비해보려 한다”며 수술을 앞둔 솔직한 심경도 전했다. 박지연은 현재 면역억제제를 복용 중이며, 수술 이후를 대비해 자신이 운영하던 요거트 사업도 잠시 정리 중이라고 덧붙였다.박지연의 이번 수술은 무려 14년 만에 다시 받는 신장이식이다. 그는 지난 2011년, 둘째 아이 임신 중 임신중독증으로 인해 신장 기능이 급격히 악화돼 친정아버지로부터 신장을 이식받았던 바 있다. 이후 오랜 시간 투석 치료와 약물 복용을 병행하며 버텨왔지만 최근 건강 악화로 재이식이 불가피해졌고, 결국 이번엔 친오빠가 손을 내밀며 또 한 번의 생명 나눔이 이뤄지게 됐다.박지연은 “첫 수술이 너무 힘들어서 다시는 하고 싶지 않다는 생각도 들었지만, 기술도 좋아졌고 약도 좋아졌다는 말에 조금씩 희망을 품었다”며 “이번엔 밝은 마음으로 잘 이겨내겠다”고 다짐했다. 실제로 게시물엔 “사진처럼 밝은 마음으로 잘 이겨낼게요”라는 문구와 함께 환한 모습의 사진이 함께 담겨 많은 이들의 응원을 받고 있다.해당 게시물에는 개그우먼 김민경을 비롯한 동료들과 팬들의 응원이 쏟아졌다. 김민경은 “우리 지연이 더 건강해져서 여행 다니자~”며 따뜻한 격려를 보냈고, 팬들은 “진심으로 기도합니다”, “가족애에 눈물 나요”, “꼭 건강 되찾으시길” 등의 댓글로 박지연을 응원했다.한편 박지연은 개그맨 이수근과 2008년 결혼해 슬하에 두 아들을 두고 있으며, 가족 중심의 따뜻한 일상과 직접 만든 도시락, 여행 사진 등을 SNS를 통해 공유하며 많은 이들에게 사랑받아 왔다. 화사한 외면 뒤엔 오랜 투병 생활이 있었던 만큼, 그의 회복을 바라는 목소리도 더욱 크다.의료계에 따르면 가족 간 신장 공여는 면역 거부 반응이 낮아 일반 이식보다 성공률이 높은 것으로 알려졌다. 박지연의 수술 일정은 현재 최종 조율 중이다./ssu08185@osen.co.kr"
156,"BLACKPINK[마이데일리 = 김진석 기자]블랙핑크(지수·리사·제니·로제)가 특별한 상품을 선보인다.13일 YG엔터테인먼트에 따르면 블랙핑크는 컴플렉스(Complex)·파나틱(Fanatic)·미첼앤네스(Mitchell & Ness) 및 각 미주 지역의 연고 스포츠팀들과 함께 '블랙핑크 인 유어 에어리어(BLACKPINK IN YOUR AREA)' 한정판 리그 콜렉션을 출시했다.이번 콜렉션은 블랙핑크의 월드투어 '데드라인(DEADLINE)' 개최 도시의 연고 스포츠팀들과의 협업으로 탄생했다. 유니폼을 비롯해 티셔츠·후디·모자 등 각 팀의 MD들이 캐주얼하면서도 감각적인 아트웍의 블랙핑크 한정판으로 출시돼 소장 가치를 높였다.이미 글로벌 팬들 사이 화제다. 지난 8일(현지시간)부터 온라인 판매를 시작해 뜨거운 반응을 얻고 있는 가운데 '데드라인' 투어 지역인 로스앤젤레스와 뉴욕에서는 단독 팝업스토어를 오픈, 각각 11일과 25일부터 3일간 현지 팬들을 맞이한다.이번 컬래버레이션 라인업에는 미국 프로야구 메이저리그(MLB)와 미국 프로농구(NBA)의 로스앤젤레스 다저스·로스앤젤레스 레이커스·시카고 불스·시카고 컵스·시카고 화이트삭스·뉴욕 닉스·뉴욕 메츠 등 다양한 인기 팀들이 이름을 올렸다.블랙핑크는 지난 5일과 6일 경기도 고양종합운동장 주경기장을 시작으로 총 16개 도시, 31회차에 걸쳐 월드투어를 진행한다.김진석 기자 superjs@mydaily.co.kr"
157,"김준호·김지민 지인 SNS 캡처개그맨 김준호(50)가 오랜 세월 일터에서 함께 한 동료 개그맨 김지민(41)과 웨딩마치를 울렸다. 개그맨 부부 25호의 탄생이다.김지민과 김준호는 13일 서울 강남구 그랜드 인터컨티넨탈 파르나스 호텔에서 결혼식을 열고 부부가 됐다. 이 장소는 최대 940명 수용 가능한 대형 웨딩홀로, 앞서 기성용-한혜진 커플, 이승기-이다인 커플 등이 이 곳에서 결혼했다.결혼식 사회는 김준호와 절친한 가수 출신 방송인 이상민이 맡았다. 축가는 가수 거미, 변진섭이 불렀다. 두 사람은 청첩장에 “선후배로 만나 연인으로 함께 해온 소중한 시간을 이제는 부부가 되어 영원한 시간을 보내려고 한다”며 “코미디언 부부답게 사는 게 참 재미있는 한 쌍이 되어보려 한다”고 말했다.이날 결혼식 하객은 1200여 명이 참석한 것으로 알려졌다. 지난 4월 600여 명이 참석해 화려하게 열린 가수 김종민의 결혼식에 이어 각계각층의 스타들이 한자리에 모인 연예계 초대형 이벤트가 펼쳐졌다.KBS 공채 개그맨 선후배로 만난 김지민과 김준호는 아홉 살 차이를 극복하고 2022년 초부터 3년여의 공개 열애 끝에 결혼에 골인했다. 그동안 SBS ‘미운우리새끼’를 비롯해 TV조선 ‘조선의 사랑꾼’ 채널S ‘니돈내산 독박투어’ 등 여러 예능 프로그램에 함께 출연하며 서로에 대한 애정과 신뢰를 드러내 팬들의 응원을 받았다.지난해 말 김준호가 ‘미운우리새끼’ 를 통해 프러포즈했고, 김지민은 최근 “이때부터 모든 국민이 함께 결혼 준비를 하는 기분이었다”는 소감을 밝혔다. 방송을 통해 반복해 공개된 두 사람의 연애와 결혼 준비 과정이 부담스럽다는 대중의 의견도 뒤따랐지만, 그때마다 두 사람은 유쾌한 반응을 보이며 오히려 호감도를 높였다.한편, 김준호는 이번이 재혼이다. 지난 2006년 2세 연상의 연극배우와 결혼했으나, 2018년 이혼했다. 두 사람 사이에 자녀는 없다. 김지민은 이번이 초혼이다. 김지민은 지난 7일 MBC 라디오 ‘두시의 데이트 안영미입니다’에 출연해 김준호에 대해 “개그를 열심히 하는 모습이 (좋았다)”며 “부산 코미디 페스티벌도 본인이 준비하고 최초 1회로 시작해서 지금 13회까지 왔는데, 그런 걸 보면서 남자로서 멋있었다”고 고백했다.두 사람은 방송 일정을 고려해 당일 신혼여행을 미루고 휴식과 함께 서울 강남에 차린 신혼집에서 신혼 생활을 시작한다.강주일 기자 joo1020@kyunghyang.com"
158,"허영만이 박수홍에게 농담을 던졌다.13일 저녁 TV CHOSUN '식객 허영만의 백반기행'에는 방송인 박수홍이 게스트로 출연했다.오프닝에서 제작진은 허영만에게 게스트 힌트 카드를 보여줬다. 힌트 카드에는 숫자 23, 마이크 든 모습, 박수가 적혀있었다. 그러나 허영만은 정체를 짐작하지 못했다.이후 박수홍이 등장하자 허영만은 ""23번 결혼한 줄 알았다""고 농담을 던졌다. 박수홍이 ""저도 안 믿기는데요. (아내와) 나이 차이""라고 밝히자, 허영만은 ""이 강도 같으니라고""라며 부러움 섞인 농담을 던졌다. 이에 박수홍은 ""날강도죠""라며 쿨하게 인정해 웃음을 자아냈다.촬영 전 박수홍은 제작진에게 ""아내가 넘어졌다는 소식을 들어서 얘기가 재밌게 안 나올 것 같다""며 걱정을 토로했다. 그러나 막상 촬영이 시작되자 허영만의 올드 개그에도 웃음을 보내며 프로페셔널하게 임해 눈길을 끌었다.식당을 찾은 박수홍은 7개월 된 아기를 보자 아빠 미소를 감추지 못했다. 박수홍은 ""(내 딸이) 조금 크다. 개월 수가 1개월 정도 빨라서""라며 아기 엄마에게 ""'아빠' 아직 안 하죠?""라고 묻더니 휴대 전화에 저장된 영상을 보여줬다. 영상에는 ""내가 누구야?""라는 질문에 ""아빠""라고 대답하는 딸 재이의 모습이 담겨있었다.허영만은 박수홍에게 새 프로그램에 들어간 사실을 언급했다. 박수홍은 ""(TV CHOSUN) '우리 아기가 태어났어요' 프로그램에 들어가게 됐다""며 ""저도 제 아내가 아기 낳는 과정을 못봤다. 그 과정을 못봤다가 이 프로그램 하면서 드는 생각이 '여성은 위대하다'는 것""이라고 전했다.박수홍은 ""저는 (태몽을) 못 꾸고 제 아내가 꿨다""며 ""꿈속에 손이 두 개가 나오더니 예쁜 소라가 있더라. 다른 한 손에는 빛깔도 좋고 커다란 전복이 있었는데, 제 아내가 전복을 집었다""고 말했다. 이어 딸 재이 사진을 보여주며 ""(재이가) 아빠, 엄마를 하는데 진짜 미치는 줄 알았다. 너무 예뻐서. 너무 미친다""고 딸바보 면모를 보였다.박수홍은 2021년 23살 연하인 아나운서 김다예와 웨딩 마치를 울렸다. 김다예가 시험관 시술로 임신에 성공하며 박수홍은 지난해 10월 53세 나이에 딸 재이를 품에 안았다.'식객 허영만의 백반기행'은 허영만이 소박한 동네 밥상에서 진정한 맛의 의미와 가치를 찾는 프로그램이다. 매주 일요일 저녁 7시 50분 TV CHOSUN에서 방송된다.사진=TV CHOSUN '허영만의 백반기행' 방송 캡처"
159,"ENA ‘내 아이의 사생활’ 캡처[뉴스엔 장예솔 기자] 방송인 도경완이 딸 하영의 비혼 선언에 울컥했다.7월 13일 방송된 ENA '내 아이의 사생활'에서는 도도남매(연우, 하영)가 결혼 50주년을 맞은 조부모님과 함께 경주를 찾았다.ENA ‘내 아이의 사생활’ 캡처손주투어 둘째 날 아침, 연우와 하영은 첫 코스로 조부모님을 위한 족욕을 준비했다. 고사리손으로 할아버지 발을 씻던 연우는 ""장가 언제 갈 거냐""는 물음에 ""곧 가겠다""고 너스레를 떨었다.엄마 장윤정이 이상형이라는 연우와 달리 하영은 ""어차피 결혼 같은 거 안 할 것""이라고 비혼을 선언했다. 할머니가 ""왜 안 하냐""고 걱정하자 하영은 ""그럼 아빠랑 결혼할게요""라고 마음을 돌렸다.이유를 묻자 하영은 ""아빠는 착하고 나한테 관심이 많다. 그리고 잘생겼다""며 아빠 바라기 면모를 보였다. VCR로 보던 도경완은 딸의 특급 칭찬에 ""이거 박제됐다. 너무 감동이다""며 눈물을 글썽였다."
